产地,产品,类别,单位,低价,高价,均价,发行时间
nan,木瓜,水果,斤,4.0,4.5,4.25,2023-07-02 00:00:00
nan,柠檬,水果,斤,5.0,6.0,5.5,2023-07-02 00:00:00
nan,山楂,水果,斤,4.0,5.0,4.5,2023-07-02 00:00:00
nan,姑娘果（灯笼果）,水果,斤,12.0,22.0,17.0,2023-07-02 00:00:00
nan,鸭梨,水果,斤,4.2,4.4,4.3,2023-07-02 00:00:00
nan,雪花梨,水果,斤,3.3,3.5,3.4,2023-07-02 00:00:00
nan,皇冠梨,水果,斤,5.2,5.5,5.35,2023-07-02 00:00:00
nan,丰水梨,水果,斤,4.5,5.0,4.75,2023-07-02 00:00:00
nan,酥梨,水果,斤,4.0,4.5,4.25,2023-07-02 00:00:00
nan,红香酥梨,水果,斤,3.6,3.8,3.7,2023-07-02 00:00:00
nan,红啤梨,水果,斤,6.5,7.0,6.75,2023-07-02 00:00:00
nan,库尔勒香梨,水果,斤,5.5,6.5,6.0,2023-07-02 00:00:00
nan,沃柑,水果,斤,3.3,6.0,4.65,2023-07-02 00:00:00
nan,伦晚脐橙,水果,斤,3.0,5.5,4.25,2023-07-02 00:00:00
nan,夏橙,水果,斤,3.0,4.5,3.75,2023-07-02 00:00:00
nan,油桃,水果,斤,1.5,6.0,3.75,2023-07-02 00:00:00
nan,蟠桃,水果,斤,3.0,6.0,4.5,2023-07-02 00:00:00
鲁冀,彩椒,蔬菜,斤,4.5,5.5,5.0,2023-07-02 00:00:00
冀,白萝卜,蔬菜,斤,0.7,0.8,0.75,2023-07-02 00:00:00
冀,心里美,蔬菜,斤,1.3,1.5,1.4,2023-07-02 00:00:00
冀,卞萝卜,蔬菜,斤,0.7,0.8,0.75,2023-07-02 00:00:00
冀津鲁,青萝卜,蔬菜,斤,0.8,1.1,0.95,2023-07-02 00:00:00
鲁,胡萝卜,蔬菜,斤,1.35,1.45,1.4,2023-07-02 00:00:00
鲁,胡萝卜,蔬菜,斤,1.3,1.4,1.35,2023-07-02 00:00:00
鲁冀,土豆,蔬菜,斤,1.1,1.65,1.38,2023-07-02 00:00:00
鲁苏,葱头,蔬菜,斤,0.9,1.1,1.0,2023-07-02 00:00:00
鲁苏,葱头,蔬菜,斤,0.9,1.1,1.0,2023-07-02 00:00:00
